Index,item_id,seller_id,listing_title,listing_description,listing_price,category_sk,category_l1_name_en,category_l2_name_en,category_l3_name_en,listing_latitude,listing_longitude
1479,1479,1428,Ferrari car seat,Ferrari car seat it perfect condition.  Retails for R1700 - asking R1000,1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.0963,27.98933
1536,1536,1261,16 inch Princess bicycle,Never used. A bargain of bargains.call/ WhatsApp Raina 079 715 6015.,999,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.78704,31.02204
1697,1697,1625,Baby bAmbo seat,"Purple bAmbo seat
With straps 
200 neg",200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.70342,27.8077
1706,1706,1632,Chico baby car seat,Chico baby car seat,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.76585,29.45996
1759,1759,1677,"Feeding Chair. New born car seat with pram, car seat & walking ring",Pram with New born car seat. Car seat suitable for kids 1-5 years of age and walking ring.,2500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.22044,27.9659
1861,1861,1769,Brand new bounce pram,"Brand-new bounce pram  R699
Brand new musical walking ring r270

Take both for R899",699,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.84962,31.02204
1887,1887,1793,Graco pram for sale,"Graco 4 wheel pram for sale.

Cup holder that goes over the front included (just not part of pictures)",1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.82639,28.29359
2074,2074,595,Safeway Titan 9-36kg car chair available,"I have a Safeway Titan 9-36kg car chair available 

It is used but still in very good condition. 

A bargain at R1000

Collection in Roodepoort with cash",1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.12014,27.90147
2076,2076,1962,Red baby car seat,It is a red car seat still looking brand new you can negotiate the price and the sell is urgent... I will whatsApp photos if required. 0815045881Elize the picture is just an example,300,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.48448,29.22336
2080,2080,1965,Compressor nebulizer,New condition,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.15109,28.36957
2116,2116,1999,Angle care monitor te koop,"Monitor met ""pad"" te koop.",850,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.13184,26.19502
2324,2324,2191,Tommee Tippee Electric Breast Pump,Brand new. Never been used. Excludes bottle. (New R1300),900,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-24.70295,28.40463
2356,2356,430,Left foot SIZE 10,Size 10 foot,1.00E+12,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.74787,28.22927
2469,2469,2320,Graco Pram,Graco toddler pram for sale. Call or whatsapp only,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.26056,28.0069
2473,2473,2324,Wireless Baby Monitor,Babecom Wireless monitor. Good working conditions with rechargeable batteries,350,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74966,28.15615
2476,2476,2327,Chicco Baby car seat and pram set,Red baby car seat that clips into pram with a fully reclining pram.,2500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.24086,28.17663
2510,2510,2361,Camp cot,"Camp cot in excellent condition, hardly used.",500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.87481,18.50406
2604,2604,2442,Imported Mink Baby Blanket!!,"Imported Mink Baby Blanket! !
Brand new !!
Creme in colour!!
Perfect baby gift!!",199,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.15109,28.36957
2697,2697,2525,Used baby girl clothings,"Used baby girl winter and summer clothing from 1-3, 3-6 and 6-12,  Naartjie brand, Edgars and most of Woolworths brand. +- 35 items. You can also get 3 pairs of shoes as a bonus.",750,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.95753,28.12105
2784,2784,2604,Bby twin seat,Secondhand baby seats,750,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.74004,28.1503
2884,2884,2693,playmat,"Baby playmat good condition R200
0799335169",200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-34.0675,18.58788
2889,2889,2696,Baby hanging crib,Baby strong hanging crib,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.72446,28.21173
2942,2942,2744,Playtex baby teetes,BPA FREE bottle teetes,30,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.12014,27.90147
3025,3025,2191,Medela Maxi Swing Double Electric Breast Pump,Good as new double electric breast pump. 100% working order. Excellent condition. Comes with a carry bag. (New R4899.00),2500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-24.70295,28.40463
3125,3125,2889,Cot for sale - solid wood,"wood cot for sale - solid

needs a mattress",600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.71392,25.52074
3200,3200,1502,Tommee Tippee Electric Breast Pump,"We have an electric breast pump set from Tommy Tippee for sale.
Original price was R999.
Set was hardly used.
Contains all original content except for the 150ml bottle and milk storage pot.",450,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
3229,3229,2978,Chelino urban detour travel system,"Pram ,car seat with mosquito net & isofix base all in good condition.price not neg.!!! W.app 0727164730. Collect grassy park",2000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-34.06339,18.5107
3245,3245,2889,Kiddies chair,foldable chair,140,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.71392,25.52074
3277,3277,3017,Toddler girl's shoes size 3 & 4,"3 pairs of gum boots size 4 (the plain pink r from the UK & are a size 3). 1 pair of smart black boots (hardly worn, perfect condition  size 4). 1 pair of Puma sneakers bought in the UK size 4,5. 1 pair funmates size 4. For collection in Krugersdorp",350,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.09632,27.8077
3507,3507,3220,Baby Camping Cot with Matress,Baby camping cot with matress in good condition. Price is R 450. Contact Andre in Centurion on 082 492 6836.,450,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
3552,3552,3259,Compactum,Compactum bath & cupboard unit. Bath is removable for emptying & cleaning. Top surface used as changing area. Cupboard has hanging rail & can be used for general storage as well. Currently pink but can be painted any colour by buyer.,1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.81631,28.26436
3628,3628,3321,Snuggle Time wedge pillow. And the Sling thing. And nappies.,Snuggle Time wedge pillow brand new and never used. Still in original packaging. And The Sling thing also never been used. The nappies nr 2 giant pack the pack is open because the nappies were only used for decorations at the stork party but everything is ,640,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.15109,28.36957
3825,3825,3492,Brand new baby Tricycle,"Brand new baby Tricycle 
Blue and pink available",900,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.08078,28.33158
4065,4065,3691,Girls clothes. 3 - 6 months.,Girls clothes. 3 - 6 months. R200 for all of it.,200,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.74148,28.31113
4130,4130,3747,Baby feeder chair and Bimbo seat combo,Used baby feed8mg chair. Still in good condition. This deal includes a baby bimbo seat. Hurry this will sell fast!,650,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.12326,27.95126
4277,4277,3874,Bounce baby set,"5 in 1 bounce baby pram , car seat, and all.",1300,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.75246,28.12982
4326,4326,3916,Armani 6/12 months new,baby romper Armani size 6*12 months,200,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-29.94495,30.97616
4520,4520,4086,Chelino Sports car seat,Chelino Sports car seat as good as new. Can recline. Up to 25kg. BARGAIN!!,690,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.82594,18.65319
4531,4531,4094,Ingenuity soothe & delight portable swing,Excellent condition only used a few times,800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.85276,28.19418
4596,4596,4150,Safeway Titan Angelwings Car Seat,"Used Car seat

Group 1, 2 and 3

9 – 36 kg (approx 8 months – 12 years)

Adjustable head support

Side protection with ""AngelWings""

Forward facing only

5-point harness

Easy to install, secure lock device

Energy absorbing EPS foam.

Converts to boos",800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74787,28.22927
4638,4638,4183,Chelino Pram/Stroller,"Chelino Baby Pram/Stroller. Almost brand new, only used for a day or two. 3 wheeler. Can carry children upto 5 years of age. Very strong & foldable.",600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.83776,25.59475
4675,4675,4214,Treehouse 3/4 kiddy beds,Beautiful white duco three quarter beds. With foam mattresses. Hardly ever used. New price is over R12000. Save massive! Selling both as a set for R4000.,2000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.10757,28.0567
4698,4698,4235,brand new baby buggz isofix base,"Description: in original packaging.
IsoFix base compaible with Babybuggz Triplicity 3 in 1 Car Seat(2016), 3in 1 Deluxe Car Seat(2016) and Babybuggz Revo Car Seat.

It's brand new it's not compatible with my mima car seat and seller won't take it back beca",1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.99918,28.12629
4759,4759,4292,18-24 months Girl clothes,Three dresses; 15 tops/t-shirts; two long sleeve shirts; three pairs of shorts; five jackets; two pairs of pj's + extra pj short; one pair of pantyhose; one pair of shoes nr 5 slip ons; 5 pairs of jeans; Tinkerbell costume (2 piece); two pairs of three-qua,500,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-33.8066,25.50297
4848,4848,4368,Graco camp cot,"Graco Camp cot includes matress,baby cleaning station and has 2 levels",749,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-34.01119,18.50921
4866,4866,4381,Rocking chair with foot rest,White comfortable wooden rocking chair,200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-32.95744,27.93662
4873,4873,4387,minnie mouse bed with mattress,Actual minnie mouse bed with mattress. No pink sides. In good condition. Urgent sale. R1300 or nearest cash offer.,1234,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.91802,30.83841
5076,5076,4559,Peg-Pérego Book Plus S Travel System (like new),"Peg-Pérego Book Plus S Completo Travel System (Atmosphere)

Still in very good condition, used for 10 months some items hardly used...

Includes:

• The innovative Book Plus S chassis 

• Pop- Up Seat with hand muff and rain cover 

• Navetta XL Bas",8500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.12014,27.90147
5085,5085,2269,Pram Graco + Rocking Chair - Like NEW,"Pram Graco and Rocking Chair

For new born and ages up to 3 years old 
in good condition 

R550 onco 

Contact  Jessie on 0794858832 or 0794905633
Alberton",550,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.32239,28.12397
5182,5182,4638,Toddler Bed for sale,Kiddies bed for sale,500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.04841,28.02621
5254,5254,927,Baby sleepsuits x 18,"1x (3 - 6 months), 10x (6 - 9 months), 6x (9 - 12 months), 1x (12 - 18 months). Beautiful condition",300,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-33.96656,18.53308
5307,5307,4746,3 in 1 cot for sale,3 in 1 kot te koop. Dit haal uitmekaar en raak n enkel bed met n bedkassie,8000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.13184,26.19502
5327,5327,4759,Chelino Travel system,Chelino pram with car seat and base,1600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.70342,27.8077
5352,5352,1959,Baby walking ring,Perfect condition,390,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.19915,27.67868
5355,5355,4781,Sangoma,",BEST AND REAL SPELL CASTER /Quick results guaranteed!!! Best Love Spell Caster,Love Spells Lost Lover Spells,Witchcraft Spells,love spell caster,sangoma to bring back lost lover,herbalist healer,herbalist healer to bring back lost herbalist healer,herbali",1200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.20293,28.05273
5411,5411,4828,Angelcare movement and sound monitor,"All equipmet in monitor system 100% functional, un used and  in plistick protection casing. Monitor was only used once and that was by testing the equipment. The system includes the sensitivity pad for movement detection in infants crib",500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.26056,28.0069
5499,5499,4908,eating tray,green eating seat.it can tilt back and strap baby in.,800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.70342,27.8077
5596,5596,4986,white wood cot,"White wood cot, storage draws below R1650 negotiable.  Also available, toddler feeding chair; car seat and pram, R1500 for these 3 items. Call 0847775730",1650,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.85866,31.02207
5630,5630,5014,DIY Amazing GoGo,DIY Amazing GoGo Science Kit - never been used. Collection in Midrand during office hours OR postage/courier at your own cost,100,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.99918,28.12629
5766,5766,5123,"Kids Toys, CD's","Toys , CD's",800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.1719,27.91318
5787,5787,5142,Baby carry chair (New born),Baby carry chair (New Born to about 5kg)  Can also use as a chair in car,200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74966,28.15615
5795,5795,5148,Brand new car seat,"Brand new. Never been used. 

Upto 36kg and can b used up to 11years of age.",850,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.09441,28.22927
5819,5819,5164,Carseat and BathStand for BabyGirl,Used BabyGirl BathStand and Carseat no longer in use. still in good condition.,1400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-23.85533,29.38891
5933,5933,5259,Playgro ball playnest - baby gym,Lovingly looked after baby playgym with all balls and connections included. Like new. Brand new the gym costs R1150.,650,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.04841,28.02621
5971,5971,5294,Baby gift set,"Gift set, pewter effect, first tooth and first curl, and sippy cup with Teddy imprint.",100,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.13263,28.17663
6344,6344,5600,Car seats/booser seats,"In need of a car seat or Booster seat.
Come and have a look what we have on offer for a fraction of the cost.

Sms or watsapp for more information.",1234,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.88013,18.58194
6703,6703,5882,Hulk Mask & Cape,"Made from good quality cotton and stiffening for mask
Cape size 70cm in length and 80cm wide.. both items are fully washable. (not the throw away kind)
Bev 0832333681",150,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-29.78704,31.02204
6799,6799,5955,Breast Pump,"Second hand Medela Swing Maxi breast pump for sale. Very good condition. Only used for 4 months.
Includes:
1 x Swing maxi motor unit.
2 x Big bottles
2 x Small bottles
2 x Breastshields
2 x Freestyle connectors
4 x Calma multi lids
1 x Bottle stand",2800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.81631,28.26436
6829,6829,5978,Hi i am selling kids pants,Kids pants brand new for sale 2 items 200 size 5to6,200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.85866,31.02207
6833,6833,5981,2 size 5 dresses from America in Excellent used condition,These dresses are perfect for any little girl. They are both from America and are great quality. They are in excellent used condition. Size is for age 5T. They are R70 each or R125 for both. From smoke free home.,70,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-34.08988,18.49586
6838,6838,5985,Wrist Rattles,Rattled for babies,60,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.70342,27.8077
6865,6865,6005,Fisher-price potty for ur little one,Very cute potty that plays tunes to let u know if it was a poo or pee that ur little one made..Great condition..URGENT!!,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-30.10577,30.83841
6930,6930,6059,"stokke pram for sale, Bargain","Stokke pram for sale
Can be delivered in Cape town. In Oudtshoorn at the moment.
Bargain at this price
Please contact 0727846732",10000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.60072,22.20263
6984,6984,6103,Kiddies,3/4 add me on WhatsApp 0626922623,50,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-34.04859,18.60569
6996,6996,6112,Car Seat for Sale,"Strong, versatile used car seat. About three years old. For 3-6 year olds. Can be detached into three sections for ease of use.",500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.82805,18.49393
7169,7169,6252,Little One Camp Cot,"Little One Camp Coopt,

Good condition all accessories including carry bag.  Can even add two x mattresses ( slightly stained)",700,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.89541,30.95608
7210,7210,6287,chelino pram with car seat. stroller and bimbo seat,"Chelino pram with car seat.
Bimbo seat
Stroller all in excellent condition
Whatsapp for more pics",1200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.09441,28.22927
7332,7332,6385,bouncy chair,"Bouncy chair with music and vibration mode, good condition with removable teady mobile.",200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.04841,28.02621
7350,7350,6399,camp cot,Camp cot with storage bag,50000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.77774,30.81544
7367,7367,6413,Baby swing,Baby swing in very good condition,150,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.60999,27.79597
7452,7452,6482,Angelcare nappy bin,"Angelcare nappy bin - price reduced to R100

Please whatsapp me on: 071 009 7492",100,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.14384,27.99519
7539,7539,6555,Winnie the pooh stroller,Baby stroller to sell,123,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.71206,28.15639
7553,7553,5779,"Tiny love cot mobile, brand new never used",Still in box never used,900,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
7748,7748,6722,Angelcare movement & sound baby monitor - excellent condition,Baby monitor,900,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.84606,18.66555
7760,7760,6733,Baby monitoring system (to swop),"Got Angel Care baby monitor ( in good working condition). Want to swop/exchange for household furniture/appliance. E.g. Fridge, bed, TV etc",123,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-23.84768,29.39326
7775,7775,4522,2 good quality tab top pink curtains for sale,Good quality with lining. For viewing mail Sms/ whtsapp Susan,150,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.87867,18.69476
7922,7922,6858,Walking ring,In very good condition,300,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.07197,28.25851
8013,8013,6931,Toddler levi dungree 12-18months,WhatsApp me0618076734 still in excellent condition,150,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-34.04859,18.60569
8109,8109,7012,Baby Name Numerology Services,"My name is Chris. I am an intuitive, spiritual guide and spiritual numerologist. As spiritual numerologist I have 15 (fifteen) years experience.

I have a blog that is running and I mostly keep in contact with all my clients through email and Whatsapp bo",144,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.74873,28.23804
8113,8113,7015,Ingenuity Sway seat,Baby sway seat for infants,1800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.16477,28.02446
8115,8115,7017,Baby / Toddler car seat,Baby or toddler car seat. Nania First.  Good condition.,750,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.10757,28.0567
8321,8321,7185,Car bottle warmer,Bottle warmer takes any size bottle. Warm your childs milk on the road works wonderfull,50,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.24499,28.42945
8338,8338,7201,baby stuff with snuggletime baby travel napper**whatsapp doesn't work*,"2 baby bath seats,telament colic drops still sealed,tantol medi moisturising baby lotion, tantol medi baby bum cream,jelly tots brush and comb set,carriwell maternity hospital panties,carriewell maternity pads extra large amd ultra absorbent 12 pads all st",350,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.70342,27.8077
8501,8501,7329,Carrycot,This carrycot is a safe place to put baby down for a nap and easy to carry baby with you in and around the house. Ideal to use when on holiday or visiting friends. Great to put baby inside when practising to sit. Hardly ever used.,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
8888,8888,7618,Chelino Pram,Chelino pram in very good condition,1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.22235,27.91172
8901,8901,7629,Peg Perego Pliko P3 Switch,Peg Perego Pliko P3 Switch.  Excellent condition.,4000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.04317,28.0552
9008,9008,7711,Chicco Car Seat,Great deal - neutral colours,2700,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.04841,28.02621
9091,9091,7780,A NEW Chelino Tandem Stroller - Blue and Green(Twin Stroller),"A NEW Chelino Tandem Stroller - Blue and Green for sale.
We bought this pram on the 27/March/2017 is still in the Box.For more info whatsup or call 0813213209",2800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.75104,28.18833
9111,9111,7792,Safeway ISOFIX car seat,Car seat in mint condition!! Top part can be extendend..,900,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.15019,26.23637
9160,9160,4387,minnie mouse bed with mattress,Minnie mouse bed with mattress. No pink sides. In good condition. Urgent sale. R1300 or nearest cash offer,1234,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.91802,30.83841
9169,9169,7840,Graco car seat carrier with 2 car seat brackets,Graco car seat and 2 brackets for cars,1500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.05032,27.96298
9331,9331,4104,Camper puik toestand,"Camper with matress lifter, sunshade,  changing mat , milkholders in excelent condition",900,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.85982,26.63175
9347,9347,7975,Winnie the pooh cot mobile,Brand new in a very good condition and barely used,350,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.91167,18.55225
9429,9429,8039,Chelino pram and car seat,"Chelino pram and car seat,good condition. Not using anymorw",800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74787,28.22927
9438,9438,8047,BAMBINO Elite ISOFIX +- 1yr-12yrs (9-36kg) -Just like New,"* 6 Positions adjustable Headrest
* 5 point safety harness system
* Energy absorbing EPS foam
* Side protection system (SPS)
* Seat belt guide Groouop 2 & 3
* 4 position recline",2600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.04841,28.02621
