,level_0,index,Index,item_id,seller_id,listing_title,listing_description,listing_price,category_sk,category_l1_name_en,category_l2_name_en,category_l3_name_en,Final_Area,Key
15,130,10804,10804,10804,9082,Walking ring,Very good condition,600.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
16,138,11593,11595,11594,8578,Baby 4 in 1 play toy,In good condition  fully operational kids learning and explore panel call or sms if interested,150.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
17,139,11637,11639,11638,9700,Baby blankets,Baby blankies all R100 or R25 each.,25.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
18,148,12516,12518,12517,10357,Dreambaby liberty security gate,Dreambaby liberty security gate. Brand new. Never been used. The box / packaging is a little soiled. R500 Please call or watsapp me on,500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
19,152,12738,12740,12739,10510,baby body suits - 0 to 24 months,"Baby body suits in 3 colors
100% cotton 
Branded and Imported
Limited stock in hand  115 pieces
Price can be negotiable (5 pieces for a pack)
Available sizes 
0 - 2 months
2 - 6 months
12 - 24 months",160.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
20,169,14141,14143,14142,11517,Medela Mini Electric Breast Pump,Medela mini electric breast pump hardly used,800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
21,179,14781,14783,14782,11988,Kiepie Crawley swimming aid,Kiepie crawley baby swimming tube.,250.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
22,191,15502,15504,15503,12475,Toddler girls dresses,14 girls dresses. Size 18-24 months,200.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
23,198,15939,15941,15940,12777,Toddler bed,Toddler bed. Bought in 2016. Still in excellent condition. Mattress included. Please whatsapp me if interested. 0836253858,1300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
24,219,17511,17513,17512,13857,"baby pram, car chair, feeding chair etc","pram, car chair, camping cot, carry cot, rocker, bottle warmer, sterilizer, play gym, nappy bag, pink baby bag, feeding chair etc (excellent condition) everything to get u started for a new baby!",12000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
25,224,17770,17772,17771,14042,Polar fleece blankets,"Baby and kids polar fleece blankets various prints and sizes available. Baby blanket with pillow R140, baby blanket R100, toddler blanket R140, medium size R180, large R250, coral fleece toddler blanket R180. Postage can be arranged for gauteng R75 extra, ",180.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
26,227,18127,18129,18128,14280,Graco Car Seat,"Graco Car Seat, good condition. been in storage.",1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
27,230,18407,18409,18408,14452,Pink and black cot,Pink an black cot with net. Travel bag. Changing station. Night light.,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
28,236,18772,18774,18773,14707,Baby Items For new MOMMIES,"Good day I have a new baby bath with seat built in for R300, Baby changer for R200 can use on any cot, baby bath chair for R50, baby potty seat suitable for all toilets R200.

Please contact me on whatapp 0788311115",750.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
29,255,20661,20663,20662,15991,Scooter,Y bike scooter in good condition,80.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
30,265,21355,21357,21356,16458,Elephant Support Cushions,Elephant support cushions / pillows,399.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
31,272,21504,21506,21505,16562,Baby Items,"White Baby Bath, Snuggletime  Breastfeeding Pillow,Baby Names Book,What to expect when you're expecting book and wall baby photo clip",400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
32,273,21542,21544,21543,16586,Humidifier,Humidifier - perfect for purifying the air,199.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
33,280,21904,21906,21905,16819,Camping Cot,Good condition,550.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
34,285,22473,22475,22474,17178,"Secondhand Baby clothes for sale, lots and lots","We have lots of second hand, good condition baby clothes for sale, winter wear ,new born, shirts & pants, shoes... and also adult clothes. 13 Cardigan street, Brakpan, call me or WhatsApp 0637798638",1111.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
35,290,22692,22694,22693,17306,Chicco Travel System,"Chicco travel system for sale

Good condition with some minor defect. In perfect working order though.",1500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
36,291,22790,22792,22791,17365,Swing,Kids swing. Folds up. For small kids.,280.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
37,293,22858,22860,22859,2319,baby pram,"baby pram
in a good condition",250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
38,298,23942,23944,23943,18116,mamaroo4moms,best for baby ever,1500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
39,320,25472,25474,25473,19051,Twin Stroler pram,Twin stroler pram perfect for twins 6 months and older. Babies can lie down half way and sit up straight. The pram is 7months old and still in very good condition.,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
40,354,28635,28637,28636,21064,Nursery rocking chair with rocking footrest,Cream suede and mahogany rocking chair and foot rest from Christina's baby emporium,2500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
41,361,29225,29227,29226,21408,Pink and beige camp cot,Pink and beige camp cot with all accessories,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
42,364,29613,29615,29614,21659,Big special 8pce baby set. All in excellent condition,"Baby mattress, hart monitoring system, feeding chair, miscito net, stroller, training toilet, car chair, sleeping donut.",999.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
43,366,29636,29638,29637,21676,Baby nursery wall decor,Sailor theme baby nursery wall decor,40.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
44,370,29846,29848,29847,21800,Video monitor,"Still new never being used 
Got everything",1900.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
45,375,30178,30180,30179,21987,Nania Car Seat,"Adjustable harnesses.
Forward facing use up to 18kg.
Manual Available.

Payment : Strictly COD

Contact me between 8am and 5pm, sms and phone only.",300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
46,402,31672,31674,31673,15419,Baby Compactum Solid Wood,"REDUCED REDUCED MUST GO

Solid Dark Wood baby compactum...3 deep drawers n 1 hanging cupboard or shelf option.. 
you will put this through good use, it is still in great condition.

Now R2000 onco",2000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
47,407,32182,32184,32183,23121,bumbo chair,good condition,200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
48,411,32283,32285,32284,3483,Moses basket stand,Cane Moses basket stand. Will have to be restored.,120.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
49,417,32690,32692,32691,23409,Slee Cot,"Slee Cot
Still in excellent condition 
can change into a bed as well",3500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
50,426,33331,33333,33332,15991,Car booster seat,Car booster seat in good condition,50.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
51,431,33594,33596,33595,23916,5 drew baby,Baby is done with it,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
52,434,33992,33994,33993,23409,Slee Cot,"Slee Cot
Still in Excellent Condition 
Can change into a bed as well",3500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
53,438,34315,34317,34316,24336,Used Graco Stealth Pram For Sale,"USED Graco Stealth Pram. Fairly old, Used Pram, In Decent condition, Clean and fully functional. Asking for R300.
I stay in Rynfield, Benoni",300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
54,439,34342,34344,34343,24356,Chelino Sport Runner combo,"Chelino Sport Runner Combo 3 wheel,have new tubes and in good condition, R1200 Boksburg area. 0728260380",1200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
55,442,34491,34493,34492,24434,4 piece Graco Quattro Deluxe travel system.,"4 piece Graco Quattro Deluxe travel system.
Comes with car chair base that gets fitted into your car. 
Car chair that clips into both the base and pram. 
Pram that can be adjusted to different levels from sitting upright to lying down. Has got temperatu",2900.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
56,445,34575,34577,34576,23409,Slee Cot,"Slee Cot
Still in good condition
can change into a bed as well",3000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
57,453,35130,35132,35131,24799,Baby clothes,0 to 2 months,70.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
58,458,35260,35262,35261,24879,Solid Yellow wood cot,"This solid yellow wood cot is stable and strong and reliable.. excellent condition and well looked after 

It is for sales for R 1200 willing to negotiate.. I unfortunately have to sell it as there is no space to keep it anymore.

Please contact me 0838981",1200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
59,466,35700,35702,35701,25140,2-3 year boys clothes,"2-3 year boys clothes. 5 pairs of jeans, 2 pairs cords, 4 pairs denim shorts, 2 coloured shorts, 4 long sleeve tops. Collection in Springs or Kempton Park.",300.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
60,474,36252,36254,36253,12475,Boys clothing,Boys clothing 12-18 months and a warm winter jacket that is 18-24months. Onesie is also 18-24 months. Size 5 pair of boots. Track pants might need to be cleaned with a lint remover.,150.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
61,476,36334,36336,36335,9700,Blankies,All blankets R25 each.,25.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
62,478,36542,36544,36543,25632,Baby Stuff,"Graco Pram, car seat and base. Graco 6 speed swing. Disney Walker. Table Chair and a Baby Carrier.",3500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
63,484,36721,36723,36722,2327,Various baby necessaties,"Baby feeding chair, Bambino baby seat, Bath chair, Diaper bin, Playmat, Playpen, Walking ring and various other extras",1499.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
64,491,37407,37409,37408,26108,Phillips avent bottle warmer,Phillips  avent bottle warmer never been used brand new,1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
65,495,37541,37543,37542,5294,Humidifier,Humidifier - rarely used.,250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
66,1,414,414,414,405,Safetygates,3 X safetygates R295 each or all for R800,295.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
67,5,608,608,608,595,Dreambaby baby gate available,"I have a dreambaby baby gate available. 

Used but in excellent condition. 

97 -  108 cm

Only R450

Collection in Roodepoort with cash",450.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
68,9,1042,1042,1042,1014,Baby vibrating cusion,"The cusion can be use in a pram, cot, basically anywhere to mimic a car ride. You can set the intencity, battery operated",300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
69,12,1254,1254,1254,595,Chicco Oasys 1 Isofix car chair available,"I have a Chicco Oasys 1 Isofix car chair available. 

It has been lightly used and is in near perfect condition. 

9 -  18 kg or 9 months to 4 years. 

A bargain R1500 . 

Collection in Constantia kloof Roodepoort with cash",1300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
70,14,1479,1479,1479,1428,Ferrari car seat,Ferrari car seat it perfect condition.  Retails for R1700 - asking R1000,1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
71,18,1759,1759,1759,1677,"Feeding Chair. New born car seat with pram, car seat & walking ring",Pram with New born car seat. Car seat suitable for kids 1-5 years of age and walking ring.,2500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
72,21,2074,2074,2074,595,Safeway Titan 9-36kg car chair available,"I have a Safeway Titan 9-36kg car chair available 

It is used but still in very good condition. 

A bargain at R1000

Collection in Roodepoort with cash",1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
73,27,2469,2469,2469,2320,Graco Pram,Graco toddler pram for sale. Call or whatsapp only,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
74,32,2697,2697,2697,2525,Used baby girl clothings,"Used baby girl winter and summer clothing from 1-3, 3-6 and 6-12,  Naartjie brand, Edgars and most of Woolworths brand. +- 35 items. You can also get 3 pairs of shoes as a bonus.",750.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
75,36,2942,2942,2942,2744,Playtex baby teetes,BPA FREE bottle teetes,30.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
76,48,4130,4130,4130,3747,Baby feeder chair and Bimbo seat combo,Used baby feed8mg chair. Still in good condition. This deal includes a baby bimbo seat. Hurry this will sell fast!,650.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
77,55,4675,4675,4675,4214,Treehouse 3/4 kiddy beds,Beautiful white duco three quarter beds. With foam mattresses. Hardly ever used. New price is over R12000. Save massive! Selling both as a set for R4000.,2000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
78,56,4698,4698,4698,4235,brand new baby buggz isofix base,"Description: in original packaging.
IsoFix base compaible with Babybuggz Triplicity 3 in 1 Car Seat(2016), 3in 1 Deluxe Car Seat(2016) and Babybuggz Revo Car Seat.

It's brand new it's not compatible with my mima car seat and seller won't take it back beca",1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
79,61,5076,5076,5076,4559,Peg-PÃÂ©rego Book Plus S Travel System (like new),"Peg-PÃÂ©rego Book Plus S Completo Travel System (Atmosphere)

Still in very good condition, used for 10 months some items hardly used...

Includes:

Ã¢ÂÂ¢ The innovative Book Plus S chassis 

Ã¢ÂÂ¢ Pop- Up Seat with hand muff and rain cover 

Ã¢ÂÂ¢ Navetta XL Bas",8500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
80,63,5182,5182,5182,4638,Toddler Bed for sale,Kiddies bed for sale,500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
